1.1;Światowy Dzień Kaca, Światowy Dzień Pokoju, Dzień Domeny Publicznej
2.1;Dzień Przodków na Haiti
3.1;Święto Powstania Ludowego w Burkina Faso
4.1;Urodziny króla Samoa
5.1;Joma Shinji w Japonii
6.1;Dzień Filatelisty
7.1;Dzień Dziwaka
8.1;Dzień Elvisa Presleya
9.1;Dzień Ligi Ochrony Przyrody
10.1;Święto Suwerenności Ludowej (Benin)
11.1;Dzień Wegetarian
12.1;Dzień Upamiętnienia Rewolucji Zanzibaru
13.1;Dzień Wzajemnej Adoracji
14.1;Dzień Ukrytej Miłości, Dzień Osób Nieśmiałych
15.1;Dzień Wikipedii
16.1;Dzień Pikantnych Potraw
17.1;Dzień Dialogu z Judaizmem
18.1;Dzień Kubusia Puchatka
19.1;Święto Wojskowych Jednostek Organizacyjnych Prokuratury Wojskowej
20.1;Dzień Bigosu, Dzień Męczenników (Azerbejdżan)
21.1;Dzień Babci
22.1;Dzień Dziadka, Dzień Jedności Ukrainy   
23.1;Dzień bez Opakowań Foliowych
24.1;Światowy Dzień Środków Masowego Przekazu
25.1;Dzień Sekretarki i Asystentki
26.1;Światowy Dzień Celnictwa, Dzień Transplantacji
27.1;Dzień Dialogu z Islamem, Międzynarodowy Dzień Pamięci Ofiar Holokaustu
28.1;Międzynarodowy Dzień Mobilizacji przeciwko Wojnie Nuklearnej
29.1;Dzień Męczenników (Nepal)
30.1;Dzień Martyrsów (Indie)
31.1;Międzynarodowy Dzień Przytulania (obchodzony także 24 czerwca)
1.2;Rocznica zniesienia niewolnictwa (Mauritius)
2.2;Dzień Pozytywnego Myślenia, Światowy Dzień Mokradeł, Dzień Handlowca, Dzień Świstaka (w USA)
3.2;Dzień Bohaterów Mozambiku
4.2;Międzynarodowy Dzień Walki z Rakiem (wg niektórych źródeł 6 lutego)
5.2;Dzień Chama Cha Mapinduzi, Światowy Dzień Nutelli
6.2;Dzień Boba Marleya
7.2;Dzień Najwyższej Izby Kontroli
8.2;Święto Służby Więziennej, Święto Rewolucji (Irak)
9.2;Międzynarodowy Dzień Pizzy
10.2;Dzień Dyplomaty
11.2;Światowy Dzień Chorego
12.2;Dzień Darwina (lub Dzień Ewolucjonizmu)
13.2;Światowy Dzień Radia, Dzień Carlosa Santany
14.2;Walentynki 
15.2;Dzień Singla, Światowy Dzień Młodzieży Prawosławnej
16.2;Międzynarodowy Dzień Listonoszy i Doręczycieli Przesyłek
17.2;Dzień Kota
19.2;Święto Zieloniutkiej Flagi Turkmeńskiej, Święto Demokracji w Nepalu
20.2;Światowy Dzień Sprawiedliwości Społecznej
21.2;Międzynarodowy Dzień Dziedzictwa Językowego, Dzień Walki z Reżimem Kolonialnym
22.2;Dzień Myśli Braterskiej, Europejski Dzień Ofiar Przestępstw
23.2;Międzynarodowy Dzień Pomocy Potrzebującym, Ogólnopolski Dzień Walki z Depresją
26.2;Dzień Spania w Miejscach Publicznych, Dzień Pozdrawiania Blondynek, Dzień Dinozaura
27.2;Dzień Niedźwiedzia Polarnego
28.2;Dzień Kibica Cracovii, Dzień Chorób Rzadkich
29.2;Dzień Roku Przestępnego
1.3;Międzynarodowy Dzień Walki przeciwko Zbrojeniom Atomowym, Światowy Dzień Obrony Cywilnej, Światowy Dzień Świadomości Autoagresji, Dzień Puszystych, Dzień Piegów, Dzień Żołnierzy Wyklętych
2.3;Dzień Dyskordii
3.3;Międzynarodowy Dzień Pisarzy
4.3;Światowy Dzień Tenisa, Międzynarodowy Dzień Mistrza Gry, Kaziuki
5.3;Dzień Teściowej, Dzień Dentysty
6.3;Europejski Dzień Logopedy, Dzień Czystego Stołu
7.3;Dzień Nauczyciela w Albanii
8.3;Dzień Kobiet
9.3;Dzień Statystyki Polskiej
10.3;Dzień Mężczyzny
11.3;Dzień Sołtysa
12.3;Światowy Dzień Drzemki w Pracy, Dzień Matematyki
13.3;Kasuga Matsuri (Festiwal Małpy)
14.3;Dzień Liczby Pi, Biały Dzień
15.3;Światowy Dzień Praw Konsumenta, Europejski Dzień Konsumenta, Światowy Dzień Choroby Alzheimera
16.3;Dzień Przemytnika Litewskiej Książki
17.3;Światowy Dzień Morza, Dzień Św. Patryka
18.3;Europejski Dzień Mózgu
19.3;Dzień Wędkarza
20.3;Dzień Bez Mięsa
21.3;Dzień Wagarowicza, Światowy Dzień Zespołu Downa, Międzynarodowy Dzień Poezji, Światowy Dzień Lasu, Światowy Dzień Walki z Dyskryminacją Rasową
22.3;Światowy Dzień Wody, Dzień Ochrony Bałtyku
23.3;Światowy Dzień Meteorologii (wg niektórych źródeł obchodzony 24 marca), Dzień Windy, Dzień Przyjaźni Polsko-Węgierskiej
24.3;Narodowy Dzień Życia, Dzień Walki z Gruźlicą
25.3;Dzień Czytania Tolkiena
27.3;Międzynarodowy Dzień Teatru
29.3;Dzień Metalowca
30.3;Dzień Ziemi Palestyńskiej
31.3;Święto Wolności Malty
1.4;Międzynarodowy Dzień Ptaków
2.4;Międzynarodowy Dzień Książki Dla Dzieci, Światowy Dzień Wiedzy o Autyzmie
3.4;Rocznica Drugiej Republiki (Gwinea)
4.4;Międzynarodowy Dzień Wiedzy o Minach i Działań Zapobiegających Minom
5.4;Dzień Leśnika i Drzewiarza, Dzień Bez Makijażu, Dzień Grzeczności za Kierownicą
6.4;Dzień upamiętnienia ludobójstwa w Rwandzie
7.4;Dzień Pracownika Służby Zdrowia
8.4;Międzynarodowy Dzień Romów
9.4;Dzień Bohaterów (Filipiny)
10.4;Dzień Bandurka, Dzień Lotnictwa Wojskowego
11.4;Dzień Radia, Dzień Osób z Chorobą Parkinsona
12.4;Dzień Czekolady, Międzynarodowy Dzień Lotnictwa i Kosmonautyki, Dzień Ptaków Wędrownych, Dzień czystych okien
13.4;Światowy Dzień Pamięci Ofiar Katynia
14.4;Dzień Ludzi Bezdomnych, Dzień patrzenia w niebo
15.4;Światowy Dzień Trzeźwości
16.4;Dzień Sapera, Dzień Włókniarza
17.4;Światowy Dzień Chorych na Hemofilię, Dzień Edukacji w Syrii
18.4;Międzynarodowy Dzień Ochrony Zabytków, Światowy Dzień Krótkofalowca, Dzień Pacjenta w Śpiączce
19.4;Dzień republiki Sierra Leone, Urodziny króla Suazi
20.4;Międzynarodowy Dzień Wolnej Prasy
21.4;Rocznica założenia Rzymu
22.4;Dzień odkrycia Brazylii, Międzynarodowy Dzień Matki Ziemi
23.4;Światowy Dzień Książki i Praw Autorskich, Dzień Koni
24.4;Międzynarodowy Dzień Solidarności Młodzieży, Międzynarodowy Dzień Przeciwko Wiwisekcji
25.4;Dzień Sekretarki, Międzynarodowy Dzień Świadomości Zagrożenia Hałasem
26.4;Dzień Drzewa, Dzień Drogowca i Transportowca
27.4;Międzynarodowy Dzień Świadomości Zagrożenia Hałasem, Światowy Dzień Grafika i Rysunku Graficznego
28.4;Dzień Ziemi, Światowy Dzień Pamięci Ofiar Wypadków przy Pracy
29.4;Międzynarodowy Dzień Tańca
30.4;Rocznica śmierci Führera
1.5;Święto Pracy
2.5;Święto Polskiej Flagi, Dzień Polonii i Polaków za Granicą
3.5;Dzień Słońca, Dzień bez Komputera, Dzień Chorych na Astmę i Alergię
4.5;Międzynarodowy Dzień Gwiezdnych Wojen, Międzynarodowy Dzień Strażaka, Dzień Hutnika, Dzień Kominiarza, Dzień Garncarza, Dzień Piekarza
5.5;Międzynarodowy Dzień Położnika
6.5;Święto Gwardii Szwajcarskiej (Watykan)
7.5;Urodziny Tomka Pochwały, Dzień Radia (Rosja)
8.5;Dzień Bibliotekarza i Bibliotek
10.5;Dzień Pracownika Gospodarki Komunalnej
11.5;Święto Miasta Miszkolc (Węgry)
12.5;Światowy Dzień Ptaków Wędrownych
13.5;Światowy Dzień Chorego
14.5;Dzień Farmaceuty
